budget,strat,number clusters,ARI
10,ground_truth,8,0.27828327184284457
20,ground_truth,4,0.3039751957531781
30,ground_truth,4,0.3039751957531781
40,ground_truth,4,0.32781932036363154
50,ground_truth,4,0.32781932036363154
60,ground_truth,4,0.32781932036363154
70,ground_truth,4,0.32781932036363154
80,ground_truth,5,0.47257872526909295
90,ground_truth,5,0.47257872526909295
100,ground_truth,5,0.4755766482767574
110,ground_truth,5,0.4755766482767574
120,ground_truth,5,0.5571223067479174
130,ground_truth,5,0.5168616171241851
140,ground_truth,5,0.5168616171241851
150,ground_truth,6,0.5189034413954408
160,ground_truth,6,0.5562872922845852
170,ground_truth,6,0.576397852932171
180,ground_truth,6,0.5789715033864676
