budget,strat,number clusters,ARI
10,ground_truth,2,0.3694075388574537
20,ground_truth,2,0.3694075388574537
30,ground_truth,2,0.3694075388574537
40,ground_truth,2,0.3694075388574537
50,ground_truth,2,0.3694075388574537
60,ground_truth,2,0.3694075388574537
70,ground_truth,2,0.3694075388574537
80,ground_truth,2,0.3694075388574537
90,ground_truth,2,0.3694075388574537
100,ground_truth,2,0.3694075388574537
110,ground_truth,3,0.6557946356219587
120,ground_truth,3,0.6557946356219587
130,ground_truth,3,0.6557946356219587
140,ground_truth,3,0.6557946356219587
150,ground_truth,3,0.718530577831674
160,ground_truth,3,0.772454562284872
170,ground_truth,3,0.772454562284872
180,ground_truth,3,0.772454562284872
