budget,strat,number clusters,ARI
10,ground_truth,2,0.8444001082582876
20,ground_truth,2,0.8664255716822219
30,ground_truth,2,0.8664255716822219
40,ground_truth,2,0.8664255716822219
50,ground_truth,2,0.8664255716822219
60,ground_truth,2,0.8664255716822219
70,ground_truth,2,0.7717104320137934
80,ground_truth,2,0.7717104320137934
90,ground_truth,2,0.7717104320137934
100,ground_truth,2,0.7717104320137934
110,ground_truth,2,0.7717104320137934
120,ground_truth,2,0.7501425513129735
130,ground_truth,2,0.7501425513129735
140,ground_truth,2,0.7501425513129735
150,ground_truth,2,0.8444001082582876
160,ground_truth,2,0.8444001082582876
170,ground_truth,2,0.8444001082582876
180,ground_truth,2,0.8444001082582876
