budget,strat,number clusters,ARI
10,random,1,0.0
20,random,2,-0.018377631728210848
30,random,2,0.005275441088135947
40,random,4,0.02759838966054673
50,random,4,0.050932814117663636
60,random,4,0.05287982815263938
70,random,4,0.0486969412790163
80,random,4,0.055676133186849865
90,random,5,0.0932245070902172
100,random,5,0.09420422211459165
110,random,5,0.09420422211459165
120,random,5,0.09420422211459165
130,random,5,0.09420422211459165
140,random,6,0.04047469847352974
150,random,6,0.04047469847352974
160,random,6,0.04848736674365537
170,random,6,0.03963264380642375
180,random,6,0.038991800620584625
