budget,strat,number clusters,ARI
10,random,16,0.19253202532216085
20,random,16,0.19253202532216085
30,random,3,0.14344824080975624
40,random,3,0.07218201669754959
50,random,3,0.009416645627366944
60,random,4,0.03170305392677983
70,random,4,0.012509135512668794
80,random,4,0.028202718828374176
90,random,4,0.03282225357169197
100,random,4,0.03025008889578544
110,random,5,0.009229911639607947
120,random,5,0.04563579107054405
130,random,5,0.04757306326236323
140,random,6,0.04455489365031685
150,random,6,0.03696096259556339
160,random,6,0.03167064563186826
170,random,6,0.03167064563186826
180,random,6,0.02971212430238873
