budget,strat,number clusters,ARI
10,random,8,0.19781277843153536
20,random,3,0.29510931025163906
30,random,3,0.29510931025163906
40,random,3,0.29510931025163906
50,random,3,0.29510931025163906
60,random,3,0.29510931025163906
70,random,5,0.2371469252025635
80,random,5,0.24428685725311808
90,random,5,0.2166285274750654
100,random,5,0.27704702841554196
110,random,5,0.27704702841554196
120,random,5,0.27704702841554196
130,random,6,0.1929579795292206
140,random,6,0.20231383139155543
150,random,6,0.1796391359990418
160,random,6,0.17287331094828423
170,random,6,0.1889002670600235
180,random,6,0.1889002670600235
