budget,strat,number clusters,ARI
10,random,2,0.0944507315574824
20,random,3,0.07724156777739036
30,random,3,0.07724156777739036
40,random,4,0.1230252901990276
50,random,4,0.08891558597325008
60,random,4,0.08891558597325008
70,random,4,0.08891558597325008
80,random,3,0.018083376204014436
90,random,3,0.010088135200607843
100,random,4,0.005321220581381286
110,random,5,0.022820693266606594
120,random,5,0.04725365385776281
130,random,5,0.03308242482136101
140,random,5,0.03308242482136101
150,random,6,0.034259852128067446
160,random,7,0.019520691391869963
170,random,7,0.020264062326035094
180,random,7,0.020264062326035094
