budget,strat,number clusters,ARI
10,random,2,0.8445638760844804
20,random,3,0.5068540383348086
30,random,4,0.51380831927764
40,random,4,0.6190483627647358
50,random,4,0.4664889993086467
60,random,4,0.27189208817791166
70,random,4,0.27189208817791166
80,random,4,0.23732155874368047
90,random,5,0.1990012832337838
100,random,5,0.1928269820996162
110,random,6,0.1260792551887573
120,random,6,0.11114496826722742
130,random,6,0.07835352828548275
140,random,6,0.07299537398126842
150,random,6,0.07299537398126842
160,random,6,0.07299537398126842
170,random,6,0.05150535966640335
180,random,6,0.03806246418709978
