budget,strat,number clusters,ARI
10,random,3,0.07219858081029178
20,random,2,-0.021359066645216352
30,random,2,0.01802314041553366
40,random,2,-0.0251756327478092
50,random,3,-0.026208304773591682
60,random,4,-0.04869437567631911
70,random,4,-0.0630883436920981
80,random,4,-0.009485263602296082
90,random,4,0.014390276656441617
100,random,4,0.030788679475997508
110,random,4,0.0697444754101307
120,random,4,0.13523469421694675
130,random,4,0.15551030815935682
140,random,4,0.13063639679411626
150,random,4,0.12603792979348888
160,random,4,0.13657193230010023
170,random,4,0.17095848302257388
180,random,4,0.17095848302257388
