budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
10,commun_fraction,7,0.5,rbf_svm,0.4,8,0.27928753155331715
20,commun_fraction,7,0.5,rbf_svm,0.4,4,0.3039751957531781
30,commun_fraction,7,0.5,rbf_svm,0.4,4,0.1945094524518216
40,commun_fraction,7,0.5,rbf_svm,0.4,5,0.33723194074179896
50,commun_fraction,7,0.5,rbf_svm,0.4,5,0.16856716297665397
60,commun_fraction,7,0.5,rbf_svm,0.4,5,0.17691138507029933
70,commun_fraction,7,0.5,rbf_svm,0.4,5,0.17691138507029933
80,commun_fraction,7,0.5,rbf_svm,0.4,6,0.1669341395566551
90,commun_fraction,7,0.5,rbf_svm,0.4,6,0.1669341395566551
100,commun_fraction,7,0.5,rbf_svm,0.4,5,0.17131280912180089
110,commun_fraction,7,0.5,rbf_svm,0.4,5,0.2524244849177343
120,commun_fraction,7,0.5,rbf_svm,0.4,5,0.2524244849177343
130,commun_fraction,7,0.5,rbf_svm,0.4,5,0.256093879675225
140,commun_fraction,7,0.5,rbf_svm,0.4,5,0.27025488924727886
150,commun_fraction,7,0.5,rbf_svm,0.4,6,0.273221070042473
160,commun_fraction,7,0.5,rbf_svm,0.4,7,0.2547277021348434
170,commun_fraction,7,0.5,rbf_svm,0.4,7,0.2547277021348434
180,commun_fraction,7,0.5,rbf_svm,0.4,7,0.348392926955102
