,budget,strat,top_n,threshold,explainer,test_size,number clusters,ARI
0,10,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.399221812860479
1,20,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.399221812860479
2,30,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.399221812860479
3,40,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.399221812860479
4,50,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.399221812860479
5,60,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.399221812860479
6,70,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.5377208737092969
7,80,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.4540545209082304
8,90,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.4540545209082304
9,100,cosine_similarity,3,0.8,rbf_svm,0.4,3,0.4540545209082304
10,110,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.4500869035705341
11,120,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.4500869035705341
12,130,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.4500869035705341
13,140,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.5145341283727656
14,150,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.6323158815320196
15,160,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.6323158815320196
16,170,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.6323158815320196
17,180,cosine_similarity,3,0.8,rbf_svm,0.4,4,0.6937541512382902
